Internal name	Serial	ROM size (MBit)	 Complement	CRC32	Memory type	RAM size (KBit) 
SK LOS HAWK	AGB-BHLE-USA	128	CA	798593A5	SRAM_F_V103	256
DISNEY HOTR	AGB-BHME-USA	64	87	51843C2E		
DISNEY HOTR	AGB-BHMP-EUR	64	7C	D88FEB4E		
HARLEMTROTER	AGB-BHNE-USA	32	39	737C286F		
HARLEMGLOBE	AGB-BHNP-EUR	32	86	37B20866		
HARDCOREPOOL	AGB-BHOP-EUR	32	0D	2BE4F2BC		
QUIDDITCH WC	AGB-BHPE-USA	64	6A	486041A4	EEPROM_V122	4
QUIDDITCH WC	AGB-BHPJ-JAP	64	70	C1F26F37	EEPROM_V124	4
ROBORUMBLE	AGB-BHQP-EUR	32	9D	83BC2D2C		
HAGANERONDO	AGB-BHRJ-JPN	64	91	A8CDA373	EEPROM_V124	4
HAMSTAR3EX4	AGB-BHSJ-JPN	128	93	5DCBCC79	EEPROM_V124	4
HARRY POTTER	AGB-BHTE-USA	128	3B	C0BCCAAD	EEPROM_V124	64
HARRY POTTER	AGB-BHTJ-JPN	128	41	42E590D6	EEPROM_V124	64
HORSEZ	AGB-BHUE-USA	64	ED	5B2B4452	EEPROM_V124	64
MEIN GESTUET	AGB-BHUP-EUR	64	20	2819BDF5	EEPROM_V124	64
SCURGEHIVE	AGB-BHVE-USA	128	AF	EF18C510	EEPROM_V124	4
SCURGEHIVE	AGB-BHVP-EUR	128	A4	2C119783	EEPROM_V124	4
HOTWHEELS WR	AGB-BHWE-USA	64	40	CB313505		
HOTWHEELS WO	AGB-BHWP-EUR	64	38	B9F17F8F		
HOT WHEELS	AGB-BHXE-USA	32	F5	C73658F9		
HOT WHEELS	AGB-BHXP-EUR	32	EA	74E787DC		
HYOUTANJIMA	AGB-BHYJ-JPN	32	4D	481D1D5F	EEPROM_V124	4
HWVX HWWR	AGB-BHZE-USA	128	04	A440A760		
HOTWHEELS PA	AGB-BHZP-EUR	128	4A	B3C2CF9F		
KOINUISSYO2	AGB-BI2J-JPN	128	78	2D2AC33B	EEPROM_V124	4
SPIDERMAN3	AGB-BI3D-NOE	64	12	FDA3C9DD	EEPROM_V124	4
SPIDERMAN3	AGB-BI3E-USA	64	11	AD0228A1	EEPROM_V124	4
SPIDERMAN3	AGB-BI3F-FRA	64	10	450D1D48	EEPROM_V124	4
SPIDERMAN3	AGB-BI3I-ITA	64	0D	E8FB4B9A	EEPROM_V124	4
SPIDERMAN3	AGB-BI3P-EUR	64	06	6BE8D68C	EEPROM_V124	4
SPIDERMAN3	AGB-BI3S-ESP	64	03	E6251FD3	EEPROM_V124	4
4PACKRACING	AGB-BI4E-USA	256	D7	04A40017	SRAM_V113	256
NICKELODEON	AGB-BI7E-USA	256	B0	CAC0C0D8	SRAM_V113	256
ICE AGE 2	AGB-BIAE-USA	128	B5	000206C0	EEPROM_V124	4
ICE AGE 2 TH	AGB-BIAP-EUR	128	EE	58043308	EEPROM_V124	4
BIBLE GAME	AGB-BIBE-USA	64	19	CEE6904E		
INCREDBLEAGB	AGB-BICD-NOE	64	7E	BDC06E57		
INCREDBLEAGB	AGB-BICE-USA	64	7D	194D5F6C		
INCREDBLEAGB	AGB-BICI-ITA	64	79	615839EF		
MR INCREDIBL	AGB-BICJ-JPN	64	6E	73FA8B2A		
INCREDBLEAGB	AGB-BICS-SPA	64	6F	FC6CCADB		
INCREDBLEAGB	AGB-BICX-EUU	64	6A	77CBDC3B		
POPIDOL	AGB-BIDD-NOE	128	BE	5F46CEEA		
POPIDOL	AGB-BIDE-USA	128	BD	F053FFBF		
POPIDOL	AGB-BIDP-EUR	128	B2	B9A7E60D		
THE GRIM ADV	AGB-BIEE-USA	64	98	155587BC	EEPROM_V124	4
BIONICLEH	AGB-BIHE-USA	128	32	F4FAFCCF	EEPROM_V124	4
BIONICLEH	AGB-BIHP-EUR	128	27	B8DC715B	EEPROM_V124	4
POLARIUMGBA	AGB-BIIE-USA	32	7E	02D62CE9	FLASH512_V131	512
HITOFUDEGBA	AGB-BIIJ-JPN	32	B0	5A7E762B	FLASH512_V131	512
POLARIUMGBA	AGB-BIIP-EUR	32	99	8F2DEBB8	FLASH512_V131	512
SONICGENESIS	AGB-BIJE-USA	32	25	027BC70D	EEPROM_V124	4
OCHAKURU	AGB-BIKJ-JPN	256	41	DBA652C9	EEPROM_V124	64
BIONICLE	AGB-BILE-USA	64	81	3FE09C34	EEPROM_V124	4
BIONICLE_MOS	AGB-BILP-EUR	64	28	BCE2D68E	EEPROM_V124	4
DOGZ2	AGB-BIME-USA	128	69	0E2ACA9E	EEPROM_V124	64
DOGZ2	AGB-BIMP-EUR	128	5E	28163523	EEPROM_V124	64
DOGZ2	AGB-BIMX-EUU	128	56	41CE1EED	EEPROM_V124	64
NEMOINCREDIB	AGB-BIND-DEU	128	56	5DB86E1C		
NEMOINCREDIB	AGB-BINP-EUR	128	4A	9702ABCE		
NEMOINCREDIB	AGB-BINX-EUU	128	42	2D4D69FA		
NEMOINCREDIB	AGB-BINY-EUU	128	41	9EA46982		
NEMOINCREDIB	AGB-BINZ-EUU	128	40	D7AC0697		
BIONICLEGAME	AGB-BIOE-USA	64	64	C38F3530		
BIONICLEGAME	AGB-BIOP-EUR	64	59	BCF17309		
DRAGONDREAM	AGB-BIPJ-JPN	128	94	08CFF461	EEPROM_V124	64
INCREDBLROTU	AGB-BIQE-USA	64	34	2D806290		
MR.I UM	AGB-BIQJ-JPN	64	CB	667F54CA		
INCREDBLROTU	AGB-BIQX-EUU	64	21	096F98B6		
IRON_KID	AGB-BIRK-KOR	128	20	326E7A8E	EEPROM_V124	4
OSANPO	AGB-BISJ-JPN	64	D7	F146426C	EEPROM_V122	64
ONMYOU ZERO	AGB-BITJ-JPN	64	4D	66C29472	EEPROM_V124	64
IGNITION COL	AGB-BIVP-EUR	128	35	164A75AC		
CALCIOBIT01	AGB-BIXJ-JPN	64	D8	498443DA	FLASH1M_V102	1024
MATH PATROL:	AGB-BIYE-USA	64	4D	AECD1301	EEPROM_V124	4
HSM	AGB-BJ2E-USA	128	E1	7B31D4DA	EEPROM_V124	4
DANGEROUS-G3	AGB-BJ3J-JPN	64	6D	5BE52FB7	SRAM_V113	256
GTRACERS	AGB-BJAP-EUR	64	44	362D9F86		
BOND EON	AGB-BJBE-USA	64	AA	9D4F1E18	EEPROM_V122	4
BOND EON	AGB-BJBJ-JPN	64	B0	CAF2E99F	EEPROM_V122	4
MOERO JALECO	AGB-BJCJ-JPN	32	70	6DA36E82	EEPROM_V124	4
DRAGONS ROCK	AGB-BJDP-EUR	32	40	F0CA6D70	EEPROM_V124	4
JLH: FLASH	AGB-BJHE-USA	64	E9	87A4D12C	EEPROM_V124	4
JLH: FLASH	AGB-BJHP-EUR	64	DE	ACB22FFF	EEPROM_V124	4
